#
#
# US Geological Survey, Water Resources Data
# retrieved: 2016-09-13 21:24:17 EDT      (vaww02)
#
# This file contains USGS Surface-Water Daily Statistics
#
# Note:The statistics generated from  this site are based on approved daily-mean data and may not match those published by the USGS in official publications.
# The user is responsible for assessment and use of statistics from this site.
# For more details on why the statistics may not match, visit http://waterdata.usgs.gov/nwis/?dv_statistics_disclaimer.
#
# ** No Incomplete data have been used for statistical calculation
#
# This file includes the following columns:
#
#
# agency_cd  agency code
# site_no    USGS site number
#
#
# Sites in this file include:
# USGS 03451000 SWANNANOA RIVER AT BILTMORE, NC
# 
# Explanation of Parameter Code and ts_id used in the Statistics Data 
# parameter_cd	Parameter Name					ts_id	Location Name
# 00060		Discharge, cubic feet per second		87915	
#
# Data heading explanations.
# begin_yr_dt ... First complete year of data of daily mean values for this day.
# end_yr_dt   ... Last complete year of data of daily mean values for this day.
# max_va      ... Maximum of daily mean values for this day.
# min_va      ... Minimum of daily mean values for this day.
# mean_va     ... Mean of daily mean values for this day.
# p05_va      ... 05 percentile of daily mean values for this day.
# p10_va      ... 10 percentile of daily mean values for this day.
# p20_va      ... 20 percentile of daily mean values for this day.
# p25_va      ... 25 percentile of daily mean values for this day.
# p50_va      ... 50 percentile (median) of daily mean values for this day.
# p75_va      ... 75 percentile of daily mean values for this day.
# p80_va      ... 80 percentile of daily mean values for this day.
# p90_va      ... 90 percentile of daily mean values for this day.
# p95_va      ... 95 percentile of daily mean values for this day.
#
#
agency_cd	site_no	parameter_cd	ts_id	month_nu	day_nu	begin_yr	end_yr	count_nu	max_va_yr	max_va	min_va_yr	min_va	mean_va	p05_va	p10_va	p20_va	p25_va	p50_va	p75_va	p80_va	p90_va	p95_va
5s	15s	5s	11n	3n	3n	6n	6n	8n	5n	12s	5n	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s	12s
USGS	03451000	00060	87915	1	1	2012	2012	1	2012	172	2012	172	172					172				
USGS	03451000	00060	87915	1	2	2012	2012	1	2012	165	2012	165	165					165				
USGS	03451000	00060	87915	1	3	2012	2012	1	2012	158	2012	158	158					158				
USGS	03451000	00060	87915	1	4	2012	2012	1	2012	152	2012	152	152					152				
USGS	03451000	00060	87915	1	5	2012	2012	1	2012	151	2012	151	151					151				
USGS	03451000	00060	87915	1	6	2012	2012	1	2012	146	2012	146	146					146				
USGS	03451000	00060	87915	1	7	2012	2012	1	2012	87	2012	87	87					87				
USGS	03451000	00060	87915	1	8	2012	2012	1	2012	73	2012	73	73					73				
USGS	03451000	00060	87915	1	9	2012	2012	1	2012	84	2012	84	84					84				
USGS	03451000	00060	87915	1	10	2012	2012	1	2012	98	2012	98	98					98				
USGS	03451000	00060	87915	1	11	2012	2012	1	2012	293	2012	293	293					293				
USGS	03451000	00060	87915	1	12	2012	2012	1	2012	252	2012	252	252					252				
USGS	03451000	00060	87915	1	13	2012	2012	1	2012	169	2012	169	169					169				
USGS	03451000	00060	87915	1	14	2012	2012	1	2012	225	2012	225	225					225				
USGS	03451000	00060	87915	1	15	2012	2012	1	2012	212	2012	212	212					212				
USGS	03451000	00060	87915	1	16	2012	2012	1	2012	199	2012	199	199					199				
USGS	03451000	00060	87915	1	17	2012	2012	1	2012	202	2012	202	202					202				
USGS	03451000	00060	87915	1	18	2012	2012	1	2012	212	2012	212	212					212				
USGS	03451000	00060	87915	1	19	2012	2012	1	2012	188	2012	188	188					188				
